BU,store_id,store_name,AIS_pct_weighted,AIS_bucket,all_impressions_total,query_rows,store_AIS_bucket_csv
BGM,1mt,Automotive Accessories,37.4218,35–40%,874723,295,15–25%
BGM,1mt/0mi,Oils and Lubricants,41.9026,>40%,49312,9,35–40%
BGM,1mt/0mi/p2g,Engine Oil,39.2671,35–40%,219008,71,35–40%
BGM,1mt/0mi/rfk,Chain Oil,45.3934,>40%,63485,17,>40%
BGM,1mt/0mi/wtr,Gear Oil,50.5745,>40%,6353,2,35–40%
BGM,1mt/4aa,Automotive Combos,47.3845,>40%,42822,6,>40%
BGM,1mt/85k,Vehicle Lights,34.7826,30–35%,842168,246,25–30%
BGM,1mt/85k/a7e,Headlights and Fog Lamps,30.8598,30–35%,106838,37,15–25%
BGM,1mt/85k/rfq,Vehicle Light Bulbs,27.7503,25–30%,163371,63,15–25%
BGM,1mt/85k/xpu,Daytime Running Lights and LED Strip Lights,32.0646,30–35%,50208,18,25–30%
BGM,1mt/aa4,Vehicle Body Covers,35.6805,35–40%,9742,6,30–35%
BGM,1mt/aa4/hoc,Car Body Covers,50.0749,>40%,247050,84,>40%
BGM,1mt/aa4/law,Bike Body Covers,49.8491,>40%,172932,47,>40%
BGM,1mt/b75,Vehicle Storage and Organizers,16.2636,15–25%,31137,5,5–15%
BGM,1mt/b75/rzf,Bike Luggage Carriers,12.4023,5–15%,11764,7,5–15%
BGM,1mt/b75/zbi,Bike Luggage Bag & Box,11.5431,5–15%,26622,12,5–15%
BGM,1mt/bpx,Car Air Purifiers and Air Fresheners,30.8893,30–35%,119135,20,30–35%
BGM,1mt/bpx/bij,Car Air Fresheners & Refills,42.7185,>40%,27611,8,35–40%
BGM,1mt/bpx/bij/z6n,Car Air Fresheners,41.7803,>40%,88458,14,>40%
BGM,1mt/d0x,Vehicle Styling,19.6379,15–25%,344503,132,5–15%
BGM,1mt/d0x/inl/h9r,Car Hanging Ornaments,38.2235,35–40%,30892,7,25–30%
BGM,1mt/d0x/inl/s8d,Vehicle Key Covers,36.5485,35–40%,101922,42,30–35%
BGM,1mt/d0x/tyd,Stickers and Emblems,15.0254,15–25%,35826,20,5–15%
BGM,1mt/d0x/tyd/hpp,Vehicle Emblems,26.4384,25–30%,4293,2,5–15%
BGM,1mt/d0x/tyd/sul,Vehicle Stickers,24.2653,15–25%,529319,150,15–25%
BGM,1mt/d0x/zab,Exterior Stylings,7.8376,5–15%,197446,68,5–15%
BGM,1mt/d0x/zab/1v2,Bike Fairing Kits,3.5272,<5%,9214,6,5–15%
BGM,1mt/d0x/zab/auo,Door & Window Garnishs,9.3966,5–15%,1011,1,5–15%
BGM,1mt/d0x/zab/btj,Bike Headlight Visors,3.5861,<5%,38761,16,<5%
BGM,1mt/d0x/zab/bzf,Spoilers,9.3941,5–15%,41409,15,5–15%
BGM,1mt/d0x/zab/moe,Car Side Beadings,5.5421,5–15%,3302,2,15–25%
BGM,1mt/d0x/zab/ppx,Bike Tank Pads,4.066,<5%,11584,6,<5%
BGM,1mt/d0x/zab/zqt,Bike Tank Covers,12.41,5–15%,23046,12,5–15%
BGM,1mt/ebm,Vehicle Utility Accessories,18.0676,15–25%,32799,15,15–25%
BGM,1mt/ebm/iwn,Vehicle Mobile Accessories,44.7591,>40%,39592,7,35–40%
BGM,1mt/ebm/iwn/nkd,Car Mobile Chargers,45.8691,>40%,95016,14,>40%
BGM,1mt/ebm/iwn/rjb,Car Mobile Holders,40.1151,>40%,112940,21,35–40%
BGM,1mt/ebm/iwn/sta,Bike Mobile Chargers,9.9713,5–15%,15314,4,5–15%
BGM,1mt/ebm/iwn/tkk,Bike Mobile Holders,39.9229,35–40%,336153,49,35–40%
