bu,requestStorePath,R0_pct,AIS_pct,ads_CTR_pct,org_CTR_pct,ads_CABN_per_click_pct,org_CABN_per_click_pct,ads_imp,org_imp,all_impressions,ads_clicks,org_clicks,all_clicks,ads_atc,ads_bnc,ads_cabn,org_atc,org_bnc,org_cabn,all_atc,all_bnc,R0_bucket,AIS_bucket
Lifestyle,clo/cfv/itg/tys,65.6076,14.9305,2.1271,2.8127,1.2419,1.1458,7385379,42079543,49464922,157093,1183577,1340670,1098,853,1951,8790,4771,13561,9888,5624,60–70%,5–15%
Lifestyle,r18/f13,56.9253,32.2448,1.8414,2.5624,5.5994,6.2076,12996198,27308636,40304834,239311,699758,939069,5349,8051,13400,19186,24252,43438,24535,32303,50–60%,30–35%
EmergingElectronics,tyy/4mr/q2u,50.7069,38.3324,2.0965,2.5303,7.2504,9.8078,12480850,20078689,32559539,261655,508053,769708,5911,13060,18971,14941,34888,49829,20852,47948,50–60%,35–40%
Lifestyle,osp/cil,56.3196,31.4327,2.0978,3.1380,1.7473,1.7618,8596076,18751515,27347591,180331,588429,768760,1245,1906,3151,4177,6190,10367,5422,8096,50–60%,30–35%
Lifestyle,clo/8on/zpd/9og,51.4765,22.6823,2.1873,2.8757,2.2275,2.6818,6097753,20785502,26883255,133379,597735,731114,1623,1348,2971,9103,6927,16030,10726,8275,50–60%,15–25%
Lifestyle,clo,67.7400,24.8535,1.5715,2.0285,1.7304,1.6787,5968427,18046015,24014442,93793,366061,459854,704,919,1623,2791,3354,6145,3495,4273,60–70%,15–25%
Lifestyle,clo/ash/ank/edy,63.2371,32.0733,2.0446,2.9304,2.1667,2.1070,7207544,15264549,22472093,147368,447316,594684,1363,1830,3193,4100,5325,9425,5463,7155,60–70%,30–35%
Lifestyle,osp/cil/1cu,53.2403,27.7521,2.4460,3.8287,1.6080,1.6598,5067150,13191475,18258625,123943,505067,629010,851,1142,1993,3280,5103,8383,4131,6245,50–60%,25–30%
Lifestyle,clo/cfv/cib/rkt,49.3743,23.5364,1.7366,2.8229,1.4823,1.5121,4164663,13529905,17694568,72322,381929,454251,567,505,1072,3678,2097,5775,4245,2602,40–50%,15–25%
Lifestyle,osp,59.8989,32.7206,2.0136,2.8550,1.8893,1.9086,5362402,11026058,16388460,107975,314792,422767,656,1384,2040,2072,3936,6008,2728,5320,50–60%,30–35%
