bu,R0,AIS,ads_CTR,org_CTR,ads_CABN_per_click,org_CABN_per_click,ads_cabn_total,org_cabn_total,ads_imp_total,org_imp_total,all_imp_total,ads_clicks_total,org_clicks_total
BGM,0.61691,0.293872,0.029631,0.035647,0.116713,0.129652,328850,1055976,95088564,228482504,323571068,2817601,8144675
CoreElectronics,0.630869,0.218223,0.03541,0.043753,0.0845,0.095178,30690,153018,10256755,36744412,47001167,363196,1607696
EmergingElectronics,0.556133,0.314118,0.024367,0.032891,0.079091,0.096045,65219,233429,33841294,73893169,107734463,824603,2430414
Furniture,0.567414,0.300352,0.025627,0.0281,0.036679,0.046818,8049,26242,8562962,19946818,28509780,219446,560514
GiftCard,0.0,0.005022,0.002639,0.071897,0.0,0.223838,0,2417,758,150187,150945,2,10798
Home,0.627073,0.279555,0.02472,0.028373,0.077747,0.086556,96456,317645,50187968,129340347,179528315,1240644,3669837
Large,0.951754,0.181147,0.036344,0.043874,0.096322,0.08133,51904,239152,14826664,67021980,81848644,538862,2940517
Lifestyle,0.607141,0.288209,0.02024,0.026261,0.025168,0.025993,103348,342006,202876886,501044741,703921627,4106258,13157772
Others,0.752725,0.257631,0.018772,0.020551,0.077199,0.073845,23621,71275,16299294,46966645,63265939,305976,965193
OVERALL,0.604089,0.281297,0.024116,0.030344,0.067982,0.072898,708137,2441160,431941145,1103590803,1535531948,10416588,33487416
