store,bu,R0_pct,AIS_pct,ads_CTR_pct,org_CTR_pct,ads_CABN_clk_pct,org_CABN_clk_pct,R0_bucket,AIS_bucket,org_imp,ads_imp,all_impressions,org_clicks,ads_clicks,org_cabn,ads_cabn
1mt,BGM,87.6043,22.8983,1.3673,1.5443,7.4595,6.1848,5_High (70-100%),3_Moderate (15-25%),4205915,1249107,5455022,64950,17079,4017,1274
1mt/0mi,BGM,82.2206,37.9866,3.3819,3.2984,14.3262,18.0846,5_High (70-100%),5_Very_High (>=35%),68064,41693,109757,2245,1410,406,202
1mt/0mi/0gz,BGM,0.0,20.1436,1.6453,3.6431,0.0,15.1899,1_No_Signal (R0=0%),3_Moderate (15-25%),4337,1094,5431,158,18,24,0
1mt/0mi/7xs,BGM,,0.0,,9.5238,,0.0,0_No_Data,1_Minimal (<5%),42,0,42,4,0,0,0
1mt/0mi/azu,BGM,123.3191,20.45,1.2225,2.8284,60.0,13.3333,6_Outperform (>=100%),3_Moderate (15-25%),1591,409,2000,45,5,6,3
1mt/0mi/p2g,BGM,51.6979,38.8053,2.8684,4.4985,12.0967,13.9936,4_Medium (50-70%),5_Very_High (>=35%),366319,232293,598612,16479,6663,2306,806
1mt/0mi/rfk,BGM,66.2142,43.9819,4.0056,4.5491,17.0576,20.1946,4_Medium (50-70%),5_Very_High (>=35%),74564,58543,133107,3392,2345,685,400
1mt/0mi/thj,BGM,,0.0,,5.3763,,20.0,0_No_Data,1_Minimal (<5%),186,0,186,10,0,2,0
1mt/0mi/wtr,BGM,64.9731,38.0633,3.4052,3.3332,14.9701,16.6667,4_Medium (50-70%),5_Very_High (>=35%),23941,14713,38654,798,501,133,75
1mt/0mi/xko,BGM,28.1486,31.0746,2.8285,3.5788,9.6774,20.6897,2_Very_Low (0-30%),4_High (25-35%),2431,1096,3527,87,31,18,3
1mt/0mi/yx3,BGM,0.0,33.3333,2.6316,6.5789,0.0,40.0,1_No_Signal (R0=0%),4_High (25-35%),76,38,114,5,1,2,0
1mt/4aa,BGM,58.8186,40.1161,2.9692,3.1378,9.9537,15.1871,4_Medium (50-70%),5_Very_High (>=35%),43438,29099,72537,1363,864,207,86
1mt/85k,BGM,65.7925,25.2607,1.9528,2.1779,8.1044,9.1426,4_Medium (50-70%),4_High (25-35%),2222795,751271,2974066,48411,14671,4426,1189
1mt/85k/5wk,BGM,,5.2632,0.0,0.0,,,0_No_Data,2_Low (5-15%),18,1,19,0,0,0,0
1mt/85k/613,BGM,73.1819,10.1111,1.9912,2.4886,7.4074,5.6667,5_High (70-100%),2_Low (5-15%),12055,1356,13411,300,27,17,2
1mt/85k/95d,BGM,0.0,9.3379,1.2317,2.6879,0.0,9.4395,1_No_Signal (R0=0%),2_Low (5-15%),12612,1299,13911,339,16,32,0
1mt/85k/a7e,BGM,58.5006,24.4289,1.5782,2.5123,4.9636,5.2278,4_Medium (50-70%),3_Moderate (15-25%),296182,95743,391925,7441,1511,389,75
1mt/85k/gib,BGM,43.2592,10.6492,1.9909,2.2862,6.7568,9.1164,3_Low (30-50%),2_Low (5-15%),31187,3717,34904,713,74,65,5
1mt/85k/qnm,BGM,950.289,3.272,3.4632,1.9769,12.5,4.4444,6_Outperform (>=100%),1_Minimal (<5%),6829,231,7060,135,8,6,1
1mt/85k/rfq,BGM,45.6979,23.3991,2.2196,2.9505,7.278,9.8725,3_Low (30-50%),3_Moderate (15-25%),460027,140523,600550,13573,3119,1340,227
1mt/85k/whj,BGM,,13.8655,0.0,2.439,,0.0,0_No_Data,2_Low (5-15%),205,33,238,5,0,0,0
1mt/85k/xhz,BGM,35.9856,12.0979,1.6736,2.3819,6.8182,9.4505,3_Low (30-50%),2_Low (5-15%),19102,2629,21731,455,44,43,3
1mt/85k/xpu,BGM,48.4506,28.5662,2.4043,2.9225,5.5938,8.8901,3_Low (30-50%),4_High (25-35%),120856,48330,169186,3532,1162,314,65
1mt/aa4,BGM,120.841,32.9319,1.7335,1.7645,14.9635,12.6761,6_Outperform (>=100%),4_High (25-35%),32190,15806,47996,568,274,72,41
1mt/aa4/hoc,BGM,88.4781,48.4045,4.563,3.9084,15.836,17.7519,5_High (70-100%),5_Very_High (>=35%),364655,342102,706757,14252,15610,2530,2472
1mt/aa4/law,BGM,93.648,49.3582,4.3715,3.7854,23.5973,25.5832,5_High (70-100%),5_Very_High (>=35%),278596,271534,550130,10546,11870,2698,2801
1mt/aa4/mze,BGM,0.0,12.9094,0.0,2.5996,,8.5106,1_No_Signal (R0=0%),2_Low (5-15%),1808,268,2076,47,0,4,0
1mt/b75,BGM,81.189,14.227,2.2624,2.092,6.9841,6.0364,5_High (70-100%),2_Low (5-15%),83940,13923,97863,1756,315,106,22
1mt/b75/065,BGM,0.0,21.3198,1.4881,3.1452,0.0,5.1282,1_No_Signal (R0=0%),3_Moderate (15-25%),1240,336,1576,39,5,2,0
1mt/b75/1rm,BGM,0.0,0.6757,0.0,1.3605,,75.0,1_No_Signal (R0=0%),1_Minimal (<5%),294,2,296,4,0,3,0
1mt/b75/8dd,BGM,,0.0,,0.0,,,0_No_Data,1_Minimal (<5%),24,0,24,0,0,0,0
1mt/b75/aeq,BGM,96.4487,14.6416,4.1958,2.9988,22.2222,16.0,5_High (70-100%),2_Low (5-15%),2501,429,2930,75,18,12,4
1mt/b75/cii,BGM,47.2232,28.2427,2.2716,2.2352,4.3478,5.2174,3_Low (30-50%),4_High (25-35%),5145,2025,7170,115,46,6,2
1mt/b75/i65,BGM,0.0,9.545,2.0349,3.0982,0.0,9.901,1_No_Signal (R0=0%),2_Low (5-15%),3260,344,3604,101,7,10,0
1mt/b75/jiv,BGM,0.0,10.3916,8.0402,3.1469,0.0,14.8148,1_No_Signal (R0=0%),2_Low (5-15%),1716,199,1915,54,16,8,0
1mt/b75/jl0,BGM,0.0,8.0,0.0,8.6957,,50.0,1_No_Signal (R0=0%),2_Low (5-15%),23,2,25,2,0,1,0
1mt/b75/lzg,BGM,0.0,4.6358,0.0,7.6389,,9.0909,1_No_Signal (R0=0%),1_Minimal (<5%),144,7,151,11,0,1,0
1mt/b75/n2t,BGM,,0.0,,33.3333,,0.0,0_No_Data,1_Minimal (<5%),3,0,3,1,0,0,0
1mt/b75/nq8,BGM,64.419,32.9631,3.2111,3.1579,12.3457,13.8889,4_Medium (50-70%),4_High (25-35%),10260,5045,15305,324,162,45,20
1mt/b75/rzf,BGM,23.1603,9.6317,2.1215,2.5108,4.5455,5.2632,2_Very_Low (0-30%),2_Low (5-15%),68107,7259,75366,1710,154,90,7
1mt/b75/sjq,BGM,,0.0,,2.9412,,0.0,0_No_Data,1_Minimal (<5%),34,0,34,1,0,0,0
1mt/b75/xfh,BGM,0.0,10.5546,0.8475,2.4333,0.0,10.9589,1_No_Signal (R0=0%),2_Low (5-15%),3000,354,3354,73,3,8,0
1mt/b75/xqx,BGM,,8.3333,0.0,0.0,,,0_No_Data,2_Low (5-15%),11,1,12,0,0,0,0
1mt/b75/ybo,BGM,52.6117,11.2561,3.7887,2.7523,9.0909,10.0529,4_Medium (50-70%),2_Low (5-15%),6867,871,7738,189,33,19,3
1mt/b75/zbi,BGM,61.3185,9.1602,2.0995,1.9331,3.3981,2.8708,4_Medium (50-70%),2_Low (5-15%),97304,9812,107116,1881,206,54,7
1mt/bpx,BGM,77.9901,31.8158,2.3869,2.8715,12.8734,12.1103,5_High (70-100%),4_High (25-35%),126239,58905,185144,3625,1406,439,181
1mt/bpx/bij,BGM,34.464,39.6813,2.3269,3.0722,10.5903,20.5017,3_Low (30-50%),5_Very_High (>=35%),37628,24754,62382,1156,576,237,61
1mt/bpx/bij/nqx,BGM,221.1111,20.0317,1.0554,1.388,25.0,4.7619,6_Outperform (>=100%),3_Moderate (15-25%),1513,379,1892,21,4,1,1
1mt/bpx/bij/z6n,BGM,66.377,40.1549,2.9665,3.484,16.7984,20.3237,4_Medium (50-70%),5_Very_High (>=35%),76263,51171,127434,2657,1518,540,255
1mt/bpx/bij/z6n/rja/plv/c7w,BGM,,41.791,0.0,0.641,,0.0,0_No_Data,5_Very_High (>=35%),156,112,268,1,0,0,0
1mt/bpx/j6c,BGM,0.0,13.9456,2.439,2.4704,25.0,4.0,1_No_Signal (R0=0%),2_Low (5-15%),1012,164,1176,25,4,1,1
1mt/bpx/sqv,BGM,78.501,36.5534,2.5698,3.6008,11.1111,9.6447,5_High (70-100%),5_Very_High (>=35%),5471,3152,8623,197,81,19,9
1mt/bpx/sqv/4vj,BGM,,19.8925,8.1081,3.3557,0.0,0.0,0_No_Data,3_Moderate (15-25%),149,37,186,5,3,0,0
1mt/bpx/sqv/eir,BGM,,31.5315,2.2857,5.2632,0.0,0.0,0_No_Data,4_High (25-35%),380,175,555,20,4,0,0
1mt/d0x,BGM,48.0797,14.9233,1.4306,1.8658,5.9053,6.4785,3_Low (30-50%),2_Low (5-15%),816545,143230,959775,15235,2049,987,121
1mt/d0x/inl,BGM,12.6023,22.0893,1.0281,1.574,6.6667,6.1728,2_Very_Low (0-30%),3_Moderate (15-25%),5146,1459,6605,81,15,5,1
1mt/d0x/inl/h9r,BGM,51.6065,27.7678,1.1826,1.9508,8.6066,8.0229,4_Medium (50-70%),4_High (25-35%),53670,20632,74302,1047,244,84,21
1mt/d0x/inl/oxi,BGM,55.1801,19.7556,2.2259,3.1832,8.8235,7.0886,4_Medium (50-70%),3_Moderate (15-25%),12409,3055,15464,395,68,28,6
1mt/d0x/inl/s8d,BGM,66.0971,33.5048,2.4631,2.2779,11.2585,14.6318,4_Medium (50-70%),4_High (25-35%),224724,113231,337955,5119,2789,749,314
1mt/d0x/tyd,BGM,35.8662,14.9104,1.3065,1.7865,7.9545,11.165,3_Low (30-50%),2_Low (5-15%),345931,60618,406549,6180,792,690,63
1mt/d0x/tyd/hpp,BGM,40.531,11.8067,1.5712,2.2137,11.4754,13.5514,3_Low (30-50%),2_Low (5-15%),58003,7765,65768,1284,122,174,14
1mt/d0x/tyd/pux,BGM,19.7015,8.1175,3.6958,2.6937,1.9231,6.993,2_Very_Low (0-30%),2_Low (5-15%),15926,1407,17333,429,52,30,1
1mt/d0x/tyd/srz,BGM,0.0,11.5517,2.2388,2.5341,0.0,15.3846,1_No_Signal (R0=0%),2_Low (5-15%),1026,134,1160,26,3,4,0
1mt/d0x/tyd/sul,BGM,21.4697,17.487,1.1433,1.8797,4.9026,9.6758,2_Very_Low (0-30%),3_Moderate (15-25%),1355288,287227,1642515,25476,3284,2465,161
1mt/d0x/tyd/xl4,BGM,,5.4054,0.0,2.5714,,0.0,0_No_Data,2_Low (5-15%),350,20,370,9,0,0,0
1mt/d0x/tyd/xuf,BGM,41.2063,39.3978,3.9975,7.6073,28.3525,28.4031,3_Low (30-50%),5_Very_High (>=35%),10043,6529,16572,764,261,217,74
1mt/d0x/zab,BGM,76.3524,6.9186,1.8969,1.8524,8.3979,5.7626,5_High (70-100%),2_Low (5-15%),548970,40804,589774,10169,774,586,65
1mt/d0x/zab/1mg,BGM,100.7305,7.3665,2.4155,2.3627,20.0,9.7561,6_Outperform (>=100%),2_Low (5-15%),5206,414,5620,123,10,12,2
1mt/d0x/zab/1v2,BGM,108.4268,6.0515,2.1923,2.0737,15.748,9.1153,6_Outperform (>=100%),2_Low (5-15%),89936,5793,95729,1865,127,170,20
1mt/d0x/zab/2nl,BGM,53.9723,32.1804,3.0539,3.1366,10.3896,12.2,4_Medium (50-70%),4_High (25-35%),15941,7564,23505,500,231,61,24
1mt/d0x/zab/3ee,BGM,,0.0,,0.0,,,0_No_Data,1_Minimal (<5%),59,0,59,0,0,0,0
1mt/d0x/zab/auo,BGM,22.2118,8.3769,1.6687,2.5626,5.7971,7.1613,2_Very_Low (0-30%),2_Low (5-15%),45227,4135,49362,1159,69,83,4
1mt/d0x/zab/btj,BGM,38.7553,3.7249,1.2366,1.741,8.8889,6.1679,3_Low (30-50%),1_Minimal (<5%),188110,7278,195388,3275,90,202,8
1mt/d0x/zab/bzf,BGM,88.5574,7.9715,1.0917,1.386,0.9804,1.806,5_High (70-100%),2_Low (5-15%),107862,9343,117205,1495,102,27,1
1mt/d0x/zab/ecf,BGM,,4.0816,0.0,5.1064,,0.0,0_No_Data,1_Minimal (<5%),235,10,245,12,0,0,0
1mt/d0x/zab/i0u,BGM,0.0,5.5398,0.8523,1.966,0.0,4.2373,1_No_Signal (R0=0%),2_Low (5-15%),6002,352,6354,118,3,5,0
1mt/d0x/zab/ix7,BGM,,2.7601,0.0,3.7118,,0.0,0_No_Data,1_Minimal (<5%),458,13,471,17,0,0,0
1mt/d0x/zab/ler,BGM,,0.0,,0.0,,,0_No_Data,1_Minimal (<5%),5,0,5,0,0,0,0
1mt/d0x/zab/mdv,BGM,52.7878,17.0368,2.8856,2.7789,3.4483,5.1471,4_Medium (50-70%),3_Moderate (15-25%),4894,1005,5899,136,29,7,1
1mt/d0x/zab/moe,BGM,50.4728,15.6989,2.8668,3.1466,8.1633,8.518,4_Medium (50-70%),3_Moderate (15-25%),45891,8546,54437,1444,245,123,20
1mt/d0x/zab/ppx,BGM,205.0136,3.4064,2.6095,2.0065,7.1429,8.8452,6_Outperform (>=100%),1_Minimal (<5%),60853,2146,62999,1221,56,108,4
1mt/d0x/zab/tpt,BGM,328.1161,4.6877,6.8182,3.1019,20.8333,8.1081,6_Outperform (>=100%),1_Minimal (<5%),7157,352,7509,222,24,18,5
1mt/d0x/zab/ul4,BGM,13.1643,6.7866,2.71,2.7347,2.0,6.9264,2_Very_Low (0-30%),2_Low (5-15%),25341,1845,27186,693,50,48,1
1mt/d0x/zab/zjq,BGM,0.0,2.9821,2.963,2.9599,0.0,8.4615,1_No_Signal (R0=0%),1_Minimal (<5%),4392,135,4527,130,4,11,0
1mt/d0x/zab/zqt,BGM,13.4607,8.9494,1.7973,2.0732,1.5228,4.3685,2_Very_Low (0-30%),2_Low (5-15%),111517,10961,122478,2312,197,101,3
1mt/d0x/zab/zww,BGM,0.0,3.9149,1.2346,1.9618,0.0,6.4103,1_No_Signal (R0=0%),1_Minimal (<5%),3976,162,4138,78,2,5,0
1mt/ebm,BGM,94.2179,22.1866,2.659,2.6508,7.7698,6.5844,5_High (70-100%),3_Moderate (15-25%),91672,26138,117810,2430,695,160,54
1mt/ebm/9pj,BGM,3152.9412,5.4435,19.4118,1.4223,12.1212,2.381,6_Outperform (>=100%),2_Low (5-15%),2953,170,3123,42,33,1,4
1mt/ebm/b53,BGM,209.3264,33.1181,1.9499,2.8276,7.1429,2.439,6_Outperform (>=100%),4_High (25-35%),1450,718,2168,41,14,1,1
1mt/ebm/cjw,BGM,0.0,17.4419,4.0,1.6901,0.0,66.6667,1_No_Signal (R0=0%),3_Moderate (15-25%),355,75,430,6,3,4,0
1mt/ebm/dqr,BGM,0.0,22.9626,0.5219,2.8158,0.0,0.5525,1_No_Signal (R0=0%),3_Moderate (15-25%),6428,1916,8344,181,10,1,0
1mt/ebm/imh,BGM,0.0,17.0832,2.4086,1.4887,0.0,3.7037,1_No_Signal (R0=0%),3_Moderate (15-25%),5441,1121,6562,81,27,3,0
1mt/ebm/iwn,BGM,58.6436,37.9828,1.4466,1.9845,8.4926,9.2891,4_Medium (50-70%),5_Very_High (>=35%),53163,32560,85723,1055,471,98,40
1mt/ebm/iwn/ftv,BGM,,0.0,,5.2632,,0.0,0_No_Data,1_Minimal (<5%),19,0,19,1,0,0,0
1mt/ebm/iwn/nkd,BGM,77.6075,43.6838,2.7365,3.2489,11.5835,11.9898,5_High (70-100%),5_Very_High (>=35%),108590,84232,192822,3528,2305,423,267
1mt/ebm/iwn/rjb,BGM,68.9585,36.6622,3.2428,3.1474,11.1533,13.0484,4_Medium (50-70%),5_Very_High (>=35%),112251,64975,177226,3533,2107,461,235
1mt/ebm/iwn/sta,BGM,58.0277,10.6353,3.4867,2.7644,7.0423,10.8527,4_Medium (50-70%),2_Low (5-15%),51332,6109,57441,1419,213,154,15
1mt/ebm/iwn/tkk,BGM,50.195,37.7725,3.1774,3.3818,9.653,14.7315,4_Medium (50-70%),5_Very_High (>=35%),349668,212251,561919,11825,6744,1742,651
1mt/ebm/iwn/zam,BGM,36.4375,28.7582,3.2297,3.633,13.1852,12.8123,3_Low (30-50%),4_High (25-35%),51775,20900,72675,1881,675,241,89
1mt/ebm/q5e,BGM,75.6117,20.1294,2.9762,2.1002,16.0,11.4286,5_High (70-100%),3_Moderate (15-25%),3333,840,4173,70,25,8,4
1mt/ebm/rfr,BGM,134.3665,10.648,3.9533,1.9711,6.3197,7.2412,6_Outperform (>=100%),2_Low (5-15%),114199,13609,127808,2251,538,163,34
1mt/ebm/z5g,BGM,109.704,31.5842,2.1944,3.4732,14.2857,8.3333,6_Outperform (>=100%),4_High (25-35%),691,319,1010,24,7,2,1
1mt/eoe,BGM,94.2031,20.507,2.2548,2.4072,4.5701,3.7925,5_High (70-100%),3_Moderate (15-25%),571791,147506,719297,13764,3326,522,152
1mt/eoe/5p2,BGM,48.6824,18.5611,1.3045,1.9202,4.1284,3.196,3_Low (30-50%),3_Moderate (15-25%),73326,16712,90038,1408,218,45,9
1mt/eoe/a8o,BGM,,6.25,0.0,3.3333,,0.0,0_No_Data,2_Low (5-15%),30,2,32,1,0,0,0
1mt/eoe/gjf,BGM,53.4909,12.1072,1.9472,2.7479,7.6923,7.7133,4_Medium (50-70%),2_Low (5-15%),53314,7344,60658,1465,143,113,11
1mt/eoe/jmm,BGM,,12.4505,1.864,1.918,0.0,0.0,0_No_Data,2_Low (5-15%),6413,912,7325,123,17,0,0
1mt/eoe/kyc,BGM,74.9739,32.9872,2.2512,2.9245,4.5476,3.8092,5_High (70-100%),4_High (25-35%),377016,185587,562603,11026,4178,420,190
1mt/eoe/oa4,BGM,46.9669,15.7985,4.6765,1.828,1.6667,4.8,3_Low (30-50%),3_Moderate (15-25%),6838,1283,8121,125,60,6,1
1mt/eoe/vuu,BGM,48.5188,15.5917,2.419,2.6254,4.7341,5.849,3_Low (30-50%),3_Moderate (15-25%),382913,70731,453644,10053,1711,588,81
1mt/eoe/wmk,BGM,110.9988,29.4197,5.1343,3.4522,5.2717,4.4432,6_Outperform (>=100%),4_High (25-35%),258818,107882,366700,8935,5539,397,292
1mt/fak,BGM,,1.1609,0.0,0.8389,,0.0,0_No_Data,1_Minimal (<5%),1192,14,1206,10,0,0,0
1mt/hoh,BGM,68.9177,12.132,2.0083,1.8605,3.352,4.3297,4_Medium (50-70%),2_Low (5-15%),64554,8913,73467,1201,179,52,6
1mt/hoh/02x,BGM,0.0,3.9613,0.7895,1.8195,0.0,3.3557,1_No_Signal (R0=0%),1_Minimal (<5%),73703,3040,76743,1341,24,45,0
1mt/hoh/8vn,BGM,,10.2564,0.0,2.8571,,0.0,0_No_Data,2_Low (5-15%),35,4,39,1,0,0,0
1mt/hoh/dtf,BGM,12.2419,12.1549,2.5563,1.7826,1.1364,4.9605,2_Very_Low (0-30%),2_Low (5-15%),49759,6885,56644,887,176,44,2
1mt/hoh/js3,BGM,,21.164,0.0,3.3557,,0.0,0_No_Data,3_Moderate (15-25%),149,40,189,5,0,0,0
1mt/hoh/oc4,BGM,,0.0,,3.8462,,0.0,0_No_Data,1_Minimal (<5%),156,0,156,6,0,0,0
1mt/hoh/sw6,BGM,,0.0,,2.5641,,33.3333,0_No_Data,1_Minimal (<5%),117,0,117,3,0,1,0
1mt/hoh/wiz,BGM,21.8788,16.8133,3.7375,1.9389,3.3333,10.3896,2_Very_Low (0-30%),3_Moderate (15-25%),11914,2408,14322,231,90,24,3
1mt/kiq,BGM,57.7781,18.3379,1.9428,1.9234,2.9004,5.1773,4_Medium (50-70%),3_Moderate (15-25%),181766,40817,222583,3496,793,181,23
1mt/kiq/7bs/7dy,BGM,,8.0386,1.1429,0.3497,25.0,14.2857,0_No_Data,2_Low (5-15%),4004,350,4354,14,4,2,1
1mt/kiq/7bs/gwa,BGM,0.0,9.7865,0.0,3.0572,,25.8065,1_No_Signal (R0=0%),2_Low (5-15%),1014,110,1124,31,0,8,0
1mt/kiq/7bs/p1e,BGM,0.0,11.6095,4.5455,4.9254,0.0,12.1212,1_No_Signal (R0=0%),2_Low (5-15%),670,88,758,33,4,4,0
1mt/kiq/r4g,BGM,46.8395,9.6096,1.6842,2.0568,7.5984,7.2525,3_Low (30-50%),2_Low (5-15%),411607,43759,455366,8466,737,614,56
1mt/kiq/r4g/6lt,BGM,95.69,6.3153,3.0577,2.6233,6.8182,4.8214,5_High (70-100%),2_Low (5-15%),21347,1439,22786,560,44,27,3
1mt/kiq/r4g/6x9,BGM,33.0773,7.9187,1.9582,2.4416,5.425,5.9366,3_Low (30-50%),2_Low (5-15%),328386,28240,356626,8018,553,476,30
1mt/kiq/r4g/mq6,BGM,0.0,3.6847,0.8439,1.6788,0.0,2.8846,1_No_Signal (R0=0%),1_Minimal (<5%),6195,237,6432,104,2,3,0
1mt/kiq/r4g/okc,BGM,73.9181,1.8969,2.1413,2.6209,20.0,7.109,5_High (70-100%),1_Minimal (<5%),24152,467,24619,633,10,45,2
1mt/kiq/r4g/pqu,BGM,0.0,8.6552,1.7937,3.3567,0.0,13.9241,1_No_Signal (R0=0%),2_Low (5-15%),4707,446,5153,158,8,22,0
1mt/kiq/r4g/rv8,BGM,19.8094,18.4691,0.2759,2.8379,20.0,7.489,2_Very_Low (0-30%),3_Moderate (15-25%),7999,1812,9811,227,5,17,1
1mt/kiq/t8u,BGM,92.8779,19.5628,2.2771,1.8961,3.3898,2.4752,5_High (70-100%),3_Moderate (15-25%),21307,5182,26489,404,118,10,4
1mt/kiq/t8u/7lp,BGM,0.0,3.7658,0.9615,1.4925,0.0,2.521,1_No_Signal (R0=0%),1_Minimal (<5%),7973,312,8285,119,3,3,0
1mt/kiq/t8u/exq,BGM,,0.0,,0.0,,,0_No_Data,1_Minimal (<5%),126,0,126,0,0,0,0
1mt/kiq/t8u/gbj,BGM,72.9773,37.491,5.1074,3.2007,3.7257,4.8622,5_High (70-100%),5_Very_High (>=35%),77108,46247,123355,2468,2362,120,88
1mt/kiq/t8u/lvr,BGM,98.8517,15.5545,2.304,1.6866,8.9124,7.8677,5_High (70-100%),3_Moderate (15-25%),155992,28733,184725,2631,662,207,59
1mt/kiq/t8u/w2o,BGM,46.4303,35.6188,4.2529,5.1462,4.0868,6.4591,3_Low (30-50%),5_Very_High (>=35%),84237,46604,130841,4335,1982,280,81
1mt/kiq/t8u/w2z,BGM,118.2329,7.9145,3.6641,2.6637,14.5833,7.6355,6_Outperform (>=100%),2_Low (5-15%),15242,1310,16552,406,48,31,7
1mt/kiq/t8u/xio,BGM,0.0,8.2907,3.9648,2.509,0.0,15.873,1_No_Signal (R0=0%),2_Low (5-15%),2511,227,2738,63,9,10,0
1mt/kiq/wwl/ayt,BGM,32.2437,33.5094,3.6695,4.2329,3.7037,10.0324,3_Low (30-50%),4_High (25-35%),7300,3679,10979,309,135,31,5
1mt/m2b,BGM,56.7405,11.477,1.5579,1.6517,5.159,5.7145,4_Medium (50-70%),2_Low (5-15%),825333,107004,932337,13632,1667,779,86
1mt/m2b/1d3,BGM,,10.0,0.0,2.381,,0.0,0_No_Data,2_Low (5-15%),126,14,140,3,0,0,0
1mt/m2b/1d3/esh,BGM,261.0526,10.0379,5.6604,2.3158,33.3333,18.1818,6_Outperform (>=100%),2_Low (5-15%),475,53,528,11,3,2,1
1mt/m2b/1d3/sqj,BGM,,10.9091,0.0,1.0204,,0.0,0_No_Data,2_Low (5-15%),98,12,110,1,0,0,0
1mt/m2b/3r5,BGM,0.0,2.2393,8.2051,3.5005,0.0,10.7383,1_No_Signal (R0=0%),1_Minimal (<5%),8513,195,8708,298,16,32,0
1mt/m2b/3r5/9x8,BGM,,0.0,,5.4054,,0.0,0_No_Data,1_Minimal (<5%),37,0,37,2,0,0,0
1mt/m2b/3r5/xjc,BGM,,5.0847,5.5556,0.8929,0.0,0.0,0_No_Data,2_Low (5-15%),336,18,354,3,1,0,0
1mt/m2b/5pl/z3x,BGM,0.0,9.4007,0.4167,2.8534,0.0,4.5455,1_No_Signal (R0=0%),2_Low (5-15%),2313,240,2553,66,1,3,0
1mt/m2b/5xe,BGM,0.0,8.2912,0.0,2.6461,,16.6667,1_No_Signal (R0=0%),2_Low (5-15%),907,82,989,24,0,4,0
1mt/m2b/5xe/0vo,BGM,20.9606,9.3463,1.9767,2.5535,5.8824,21.5962,2_Very_Low (0-30%),2_Low (5-15%),16683,1720,18403,426,34,92,2
1mt/m2b/5xe/2qb,BGM,,0.0,,1.6949,,0.0,0_No_Data,1_Minimal (<5%),59,0,59,1,0,0,0
1mt/m2b/5xe/dqn,BGM,,0.0,,9.5238,,0.0,0_No_Data,1_Minimal (<5%),21,0,21,2,0,0,0
1mt/m2b/5xe/hoa,BGM,,0.0,,10.6195,,0.0,0_No_Data,1_Minimal (<5%),113,0,113,12,0,0,0
1mt/m2b/5xe/ka9,BGM,,12.1576,1.6484,2.1293,0.0,0.0,0_No_Data,2_Low (5-15%),1315,182,1497,28,3,0,0
1mt/m2b/5xe/lnu,BGM,42.3862,14.2976,5.2478,2.3346,5.5556,16.6667,3_Low (30-50%),2_Low (5-15%),2056,343,2399,48,18,8,1
1mt/m2b/8iq,BGM,0.0,26.7827,1.5748,2.4482,0.0,5.8824,1_No_Signal (R0=0%),4_High (25-35%),5555,2032,7587,136,32,8,0
1mt/m2b/8iq/1wi,BGM,,0.0,,4.3764,,10.0,0_No_Data,1_Minimal (<5%),457,0,457,20,0,2,0
1mt/m2b/8iq/6no,BGM,47.4654,26.2624,2.4674,2.8354,15.0943,15.7895,3_Low (30-50%),4_High (25-35%),6031,2148,8179,171,53,27,8
1mt/m2b/8iq/fnu,BGM,205.2724,26.411,2.3859,2.1593,8.6957,3.4483,6_Outperform (>=100%),4_High (25-35%),2686,964,3650,58,23,2,2
1mt/m2b/8iq/pph,BGM,,0.0,,31.25,,0.0,0_No_Data,1_Minimal (<5%),16,0,16,5,0,0,0
1mt/m2b/8iq/qr5,BGM,0.0,1.94,0.0,2.0983,,1.4286,1_No_Signal (R0=0%),1_Minimal (<5%),3336,66,3402,70,0,1,0
1mt/m2b/8iq/rrt,BGM,0.0,6.7568,0.0,1.4493,,100.0,1_No_Signal (R0=0%),2_Low (5-15%),69,5,74,1,0,1,0
1mt/m2b/8iq/ru1,BGM,45.7733,22.7247,1.0269,1.7495,13.7931,10.7143,3_Low (30-50%),3_Moderate (15-25%),9603,2824,12427,168,29,18,4
1mt/m2b/8iq/zw2,BGM,0.0,7.3944,1.5873,4.1825,0.0,12.1212,1_No_Signal (R0=0%),2_Low (5-15%),789,63,852,33,1,4,0
