store,bu,R0_pct,AIS_pct,ads_CTR_pct,org_CTR_pct,ads_CABN_per_click_pct,org_CABN_per_click_pct,R0_bucket,AIS_bucket,org_imp,ads_imp,all_impressions,org_clicks,ads_clicks,org_cabn,ads_cabn
1mt,BGM,82.4573,21.9269,1.3375,1.3733,6.5323,5.9585,4_High (0.75-1.00),3_Medium (20-30%),4173246,1172061,5345307,57313,15676,3415,1024
1mt/0mi,BGM,80.428,39.1158,3.1996,3.5625,16.2429,18.0929,4_High (0.75-1.00),4_High (30-40%),68885,44256,113141,2454,1416,444,230
1mt/0mi/0gz,BGM,30.8559,25.4438,2.3256,2.381,8.0,18.6667,2_Low (0.25-0.50),3_Medium (20-30%),3150,1075,4225,75,25,14,2
1mt/0mi/7xs,BGM,,0.0,,9.375,,0.0,N/A,1_Very_Low (<10%),32,0,32,3,0,0,0
1mt/0mi/azu,BGM,0.0,15.2433,1.8072,3.5753,0.0,18.1818,1_Very_Low (<0.25),2_Low (10-20%),923,166,1089,33,3,6,0
1mt/0mi/p2g,BGM,53.7986,39.1506,2.5372,4.3032,12.1944,13.5727,3_Medium (0.50-0.75),4_High (30-40%),388315,249843,638158,16710,6339,2268,773
1mt/0mi/rfk,BGM,66.3084,43.6397,4.1246,4.3841,17.3129,20.1342,3_Medium (0.50-0.75),5_Very_High (>=40%),81568,63158,144726,3576,2605,720,451
1mt/0mi/wtr,BGM,55.1148,42.1258,2.5061,2.8998,12.7835,17.38,3_Medium (0.50-0.75),5_Very_High (>=40%),26588,19353,45941,771,485,134,62
1mt/0mi/xko,BGM,147.102,37.0481,2.9543,3.4247,27.2727,10.7692,5_Very_High (>=1.00),4_High (30-40%),1898,1117,3015,65,33,7,9
1mt/0mi/yx3,BGM,0.0,22.5806,0.0,6.25,,133.3333,1_Very_Low (<0.25),3_Medium (20-30%),48,14,62,3,0,4,0
1mt/4aa,BGM,87.1152,36.4782,3.2783,2.7844,9.2994,12.6615,4_High (0.75-1.00),4_High (30-40%),41697,23945,65642,1161,785,147,73
1mt/85k,BGM,75.848,23.5061,2.0717,2.0501,8.3617,8.6669,4_High (0.75-1.00),3_Medium (20-30%),2536084,779322,3315406,51991,16145,4506,1350
1mt/85k/5wk,BGM,,0.3817,0.0,2.2989,,0.0,N/A,1_Very_Low (<10%),261,1,262,6,0,0,0
1mt/85k/613,BGM,51.3408,16.7948,1.5828,3.4459,17.8571,8.6093,3_Medium (0.50-0.75),2_Low (10-20%),8764,1769,10533,302,28,26,5
1mt/85k/95d,BGM,25.6534,7.5311,1.774,2.4259,5.2632,5.6426,2_Low (0.25-0.50),1_Very_Low (<10%),13150,1071,14221,319,19,18,1
1mt/85k/a7e,BGM,49.9439,24.1781,1.7397,2.3935,3.5895,4.1726,2_Low (0.25-0.50),3_Medium (20-30%),321406,102490,423896,7693,1783,321,64
1mt/85k/gib,BGM,9.9575,11.5698,2.1214,2.1525,5.3191,8.2305,1_Very_Low (<0.25),2_Low (10-20%),33867,4431,38298,729,94,60,5
1mt/85k/qnm,BGM,0.0,3.789,1.497,2.0752,0.0,11.3636,1_Very_Low (<0.25),1_Very_Low (<10%),8481,334,8815,176,5,20,0
1mt/85k/rfq,BGM,46.6352,20.5373,2.1723,2.8574,6.6314,9.3631,2_Low (0.25-0.50),3_Medium (20-30%),504961,130508,635469,14429,2835,1351,188
1mt/85k/whj,BGM,0.0,7.0833,5.8824,4.4843,0.0,10.0,1_Very_Low (<0.25),1_Very_Low (<10%),223,17,240,10,1,1,0
1mt/85k/xhz,BGM,17.0204,12.3736,1.7743,2.3247,4.918,10.424,1_Very_Low (<0.25),2_Low (10-20%),24347,3438,27785,566,61,59,3
1mt/85k/xpu,BGM,76.0466,17.8781,2.7188,2.5116,6.5508,6.8053,4_High (0.75-1.00),2_Low (10-20%),126375,27512,153887,3174,748,216,49
1mt/aa4,BGM,160.5942,30.8435,1.9817,1.9627,14.6277,9.1018,5_Very_High (>=1.00),4_High (30-40%),42543,18974,61517,835,376,76,55
1mt/aa4/hoc,BGM,74.8394,48.0496,3.8613,3.6704,14.5652,17.4964,3_Medium (0.50-0.75),5_Very_High (>=40%),360645,333565,694210,13237,12880,2316,1876
1mt/aa4/law,BGM,78.3852,48.5721,4.0664,3.8167,22.8148,26.4587,4_High (0.75-1.00),5_Very_High (>=40%),363722,343525,707247,13882,13969,3673,3187
1mt/aa4/mze,BGM,,7.1242,0.0,2.6908,,0.0,N/A,1_Very_Low (<10%),2490,191,2681,67,0,0,0
1mt/b75,BGM,35.4503,16.5364,2.0112,2.1041,2.8571,5.0664,2_Low (0.25-0.50),2_Low (10-20%),96620,19143,115763,2033,385,103,11
1mt/b75/065,BGM,50.0,19.0045,5.5556,3.1657,9.5238,13.7255,3_Medium (0.50-0.75),2_Low (10-20%),1611,378,1989,51,21,7,2
1mt/b75/1rm,BGM,,0.0,,2.2099,,0.0,N/A,1_Very_Low (<10%),181,0,181,4,0,0,0
1mt/b75/8dd,BGM,,0.0,,5.5556,,0.0,N/A,1_Very_Low (<10%),18,0,18,1,0,0,0
1mt/b75/aeq,BGM,0.0,10.2145,3.0,2.6545,0.0,4.2857,1_Very_Low (<0.25),2_Low (10-20%),2637,300,2937,70,9,3,0
1mt/b75/cii,BGM,0.0,20.65,1.4364,2.0681,0.0,5.6974,1_Very_Low (<0.25),3_Medium (20-30%),24612,6405,31017,509,92,29,0
1mt/b75/i65,BGM,0.0,2.5419,2.2727,2.46,0.0,7.2289,1_Very_Low (<0.25),1_Very_Low (<10%),3374,88,3462,83,2,6,0
1mt/b75/jiv,BGM,0.0,6.9005,6.1475,3.3414,0.0,11.8182,1_Very_Low (<0.25),1_Very_Low (<10%),3292,244,3536,110,15,13,0
1mt/b75/jl0,BGM,,3.7037,0.0,7.6923,,0.0,N/A,1_Very_Low (<10%),26,1,27,2,0,0,0
1mt/b75/lzg,BGM,0.0,4.0,0.0,6.25,,33.3333,1_Very_Low (<0.25),1_Very_Low (<10%),96,4,100,6,0,2,0
1mt/b75/n2t,BGM,,0.0,,20.6897,,16.6667,N/A,1_Very_Low (<10%),29,0,29,6,0,1,0
1mt/b75/nq8,BGM,41.9789,33.0082,2.9734,3.1638,12.8834,17.0455,2_Low (0.25-0.50),4_High (30-40%),11126,5482,16608,352,163,60,21
1mt/b75/ojt,BGM,,0.0,,0.0,,,N/A,1_Very_Low (<10%),1,0,1,0,0,0,0
1mt/b75/rzf,BGM,42.2273,11.6471,2.2145,2.5333,3.8136,5.3223,2_Low (0.25-0.50),2_Low (10-20%),80842,10657,91499,2048,236,109,9
1mt/b75/sjq,BGM,,0.0,,4.1667,,0.0,N/A,1_Very_Low (<10%),24,0,24,1,0,0,0
1mt/b75/vdk,BGM,,0.0,,3.7736,,0.0,N/A,1_Very_Low (<10%),53,0,53,2,0,0,0
1mt/b75/xfh,BGM,0.0,12.7748,2.1786,2.3612,0.0,6.7568,1_Very_Low (<0.25),2_Low (10-20%),3134,459,3593,74,10,5,0
1mt/b75/xqx,BGM,,3.1111,0.0,0.9174,,0.0,N/A,1_Very_Low (<10%),218,7,225,2,0,0,0
1mt/b75/ybo,BGM,49.2117,13.3444,3.8875,2.6876,10.6383,9.0047,2_Low (0.25-0.50),2_Low (10-20%),7851,1209,9060,211,47,19,5
1mt/b75/zbi,BGM,276.0122,15.5124,2.3656,1.7603,5.2854,1.6693,5_Very_High (>=1.00),2_Low (10-20%),108902,19995,128897,1917,473,32,25
1mt/bpx,BGM,76.9794,25.037,1.8579,2.7445,14.8818,12.1069,4_High (0.75-1.00),3_Medium (20-30%),115868,38699,154567,3180,719,385,107
1mt/bpx/bij,BGM,61.1874,39.8476,2.1565,3.0857,15.4676,15.4871,3_Medium (0.50-0.75),4_High (30-40%),38921,25783,64704,1201,556,186,86
1mt/bpx/bij/nqx,BGM,0.0,19.4635,1.7595,1.8427,0.0,7.6923,1_Very_Low (<0.25),2_Low (10-20%),1411,341,1752,26,6,2,0
1mt/bpx/bij/z6n,BGM,65.9341,40.9215,2.7025,3.1392,13.9287,16.915,3_Medium (0.50-0.75),5_Very_High (>=40%),115443,79963,195406,3624,2161,613,301
1mt/bpx/bij/z6n/rja/plv/c7w,BGM,,52.0661,3.9683,0.0,20.0,,N/A,5_Very_High (>=40%),116,126,242,0,5,0,1
1mt/bpx/j6c,BGM,0.0,15.8333,2.4561,3.1683,0.0,10.4167,1_Very_Low (<0.25),2_Low (10-20%),1515,285,1800,48,7,5,0
1mt/bpx/sqv,BGM,72.1849,40.1642,2.1643,3.9817,7.4074,10.8108,3_Medium (0.50-0.75),5_Very_High (>=40%),3717,2495,6212,148,54,16,4
1mt/bpx/sqv/4vj,BGM,0.0,27.1074,2.439,2.9478,0.0,7.6923,1_Very_Low (<0.25),3_Medium (20-30%),441,164,605,13,4,1,0
1mt/bpx/sqv/eir,BGM,,22.3333,0.7463,4.0773,0.0,0.0,N/A,3_Medium (20-30%),466,134,600,19,1,0,0
1mt/d0x,BGM,63.4302,13.7643,1.4905,1.8224,6.4472,6.2036,3_Medium (0.50-0.75),2_Low (10-20%),932308,148808,1081116,16990,2218,1054,143
1mt/d0x/inl,BGM,113.5434,16.0053,0.8237,1.5539,10.0,3.0303,5_Very_High (>=1.00),2_Low (10-20%),6371,1214,7585,99,10,3,1
1mt/d0x/inl/h9r,BGM,32.5603,25.595,1.2599,1.7432,5.9041,8.8991,2_Low (0.25-0.50),3_Medium (20-30%),62527,21509,84036,1090,271,97,16
1mt/d0x/inl/oxi,BGM,45.0628,14.3597,1.9038,2.4026,7.8947,9.4406,2_Low (0.25-0.50),2_Low (10-20%),11904,1996,13900,286,38,27,3
1mt/d0x/inl/s8d,BGM,61.9641,33.6663,2.5933,2.1708,10.3877,14.8596,3_Medium (0.50-0.75),4_High (30-40%),262580,133267,395847,5700,3456,847,359
1mt/d0x/tyd,BGM,20.4422,15.0129,1.1524,1.6397,3.5806,9.6206,1_Very_Low (<0.25),2_Low (10-20%),384157,67861,452018,6299,782,606,28
1mt/d0x/tyd/hpp,BGM,56.1935,11.6389,1.4453,1.9309,3.8095,9.4836,3_Medium (0.50-0.75),2_Low (10-20%),55155,7265,62420,1065,105,101,4
1mt/d0x/tyd/pux,BGM,139.352,8.0706,3.9632,2.2802,5.3571,8.4469,5_Very_High (>=1.00),1_Very_Low (<10%),16095,1413,17508,367,56,31,3
