page_browse_store,requests,served,FR_pct,FR_bucket
tyy/4io,1227053649,159751362,13.019102,0-20
search.flipkart.com,689682716,492984523,71.479901,70-80
tyy/4mr/q2u,355007166,314282689,88.528548,80+
clo/cfv/itg/tys,349717203,236655681,67.670586,60-70
r18/f13,337606632,304274070,90.126805,80+
clo/8on/zpd/9og,321783911,238752341,74.196482,70-80
osp/cil,270518843,244054370,90.217142,80+
clo,211303872,180954385,85.637042,80+
osp/cil/1cu,208405506,185638017,89.075390,80+
osp,160227533,145426755,90.762650,80+
osp/iko,145256430,129230447,88.967109,80+
clo/cfv/cib/rkt,140041491,124004273,88.548238,80+
osp/cil/e1f,137882844,122242418,88.656728,80+
mcr/96v/yx2,136075636,98398808,72.311849,70-80
clo/ash/ank/edy,131759435,117940376,89.511902,80+
clo/odx/maj/jhy,131445213,102417730,77.916668,70-80
bks,124559003,50537169,40.572875,40-50
clo/ash/ohw/36j,119549637,106643779,89.204603,80+
mcr/96v/fbc,119018909,104014866,87.393564,80+
mcr/96v/k9d,111729653,95248822,85.249367,80+
0pm/fcn/821/a7x/2si,111341647,83693406,75.168105,70-80
ajy/buh,108531661,93879455,86.499602,80+
g9b/ema/5la,104958326,93986849,89.546825,80+
clo/ash/axc/mmk/kp7,98345494,87760520,89.236951,80+
0pm/fcn/821,95735035,78006968,81.482153,80+
reh/ihu,94452187,83920588,88.849809,80+
osp/cil/e1r,85781504,79848127,93.083151,80+
clo/vua/k58/i51,84037200,73943562,87.989083,80+
0pm/0o7,80336975,50339198,62.660062,60-70
ckf/czl,79474642,51945226,65.360755,60-70
clo/ash/axc/mmk,79239914,70042758,88.393279,80+
6bo/b5g,73726166,39894821,54.112160,50-60
clo/cfv/itg,71967849,56812258,78.941164,70-80
clo/qvw/z0g/jbm,66648055,57400014,86.124065,80+
tng,64919036,53790156,82.857293,80+
clo/8on/zpd,64003752,52858764,82.586977,80+
clo/ash/ank,63365258,56470396,89.118861,80+
clo/8on/5n9/hny,62820860,53300861,84.845800,80+
osp/cil/e83,62723207,57905746,92.319492,80+
upp/3t7,59941993,53362467,89.023511,80+
clo/vua/k58/4hp,58491125,50135865,85.715337,80+
osp/mba,57591453,52477568,91.120410,80+
reh/plk/tvv,57563891,51131218,88.825160,80+
clo/cfv,56430703,42075778,74.561853,70-80
reh/4d7,55911549,51875007,92.780486,80+
1mt,54552981,39670471,72.719163,70-80
osp/iko/6q1,54065079,39258885,72.614127,70-80
mcr,53511125,48492995,90.622268,80+
reh,50655241,46634832,92.063192,80+
26x,50483606,47079626,93.257257,80+
g9b/ema/5la/1ke,49325511,44202012,89.612882,80+
clo/cfv/cib,49290940,44768118,90.824233,80+
mcr/96v,48646555,40460225,83.171820,80+
clo/eof/1bp,48551201,44244211,91.128973,80+
clo/odx/maj/zc1,47769349,43656173,91.389508,80+
g9b/ffi/tv5/una,47096079,42271398,89.755663,80+
clo/hlg/wrp,45126824,33304784,73.802632,70-80
0pm/fcn,44852470,39381478,87.802250,80+
clo/vua,44719684,40593986,90.774313,80+
clo/odx,44702894,35611327,79.662241,70-80
osp/iko/iz7,43651032,40859561,93.605029,80+
clo/ash/ank/loi,43489833,39668727,91.213795,80+
tyy/4mr,43407853,36736905,84.631933,80+
clo/qfl/v5v/kzg,39728840,36810988,92.655582,80+
jra/knw/qcw,39377370,36274123,92.119212,80+
